순위,시도명,관광지명,주소,중분류,소분류,검색건수
1,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,926564
2,강원도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,810211
3,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,615091
4,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,583800
5,경기도,이케아고양점,경기 고양시 덕양구 권율대로 420-0,쇼핑,쇼핑몰,528924
6,인천광역시,월미도,인천 중구,자연관광,자연경관(하천/해양),465592
7,경기도,이케아광명점,경기 광명시 일직로 17-0,쇼핑,쇼핑몰,454622
8,서울특별시,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,440147
9,인천광역시,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),433767
10,서울특별시,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,430303
11,서울특별시,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,412287
12,충청남도,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),390022
13,경기도,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,370160
14,경기도,이케아기흥점,경기 용인시 기흥구 신고매로 62-0,쇼핑,쇼핑몰,363537
15,서울특별시,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,342845
16,전라북도,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,337125
17,강원도,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양),333053
18,경기도,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,332287
19,경기도,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,321241
20,제주특별자치도,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,318405
21,제주특별자치도,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,282374
22,서울특별시,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,281254
23,경기도,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원,280877
24,서울특별시,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,280011
25,서울특별시,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원,276996
26,경기도,궁평항,경기 화성시 궁평항로 1049-24,자연관광,자연경관(하천/해양),272221
27,경기도,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,268053
28,강원도,경포해변,강원 강릉시,자연관광,자연경관(하천/해양),267020
29,인천광역시,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장,264678
30,경기도,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,264555
31,충청남도,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,259813
32,부산광역시,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양),247863
33,부산광역시,이케아동부산점,부산 기장군 동부산관광3로 17-0,쇼핑,쇼핑몰,246933
34,부산광역시,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),246283
35,서울특별시,그랜드워커힐서울,서울 광진구 워커힐로 177-0,숙박,호텔,245391
36,인천광역시,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),243064
37,부산광역시,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),242782
38,경상북도,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,242118
39,강원도,쏠비치삼척,강원 삼척시 수로부인길 453-0,숙박,콘도미니엄,241896
40,경상북도,황리단길,경북 경주시,음식,기타음식,241571
41,인천광역시,소래포구,인천 남동구 포구로 2-9,자연관광,자연경관(하천/해양),239353
42,인천광역시,인천종합어시장,인천 중구 연안부두로33번길 37-0,쇼핑,시장,238484
43,경상북도,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,230911
44,서울특별시,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장,227091
45,서울특별시,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,226821
46,경기도,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지,226174
47,경기도,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰,224800
48,경기도,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,223975
49,경기도,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,223179
50,강원도,주문진항,강원 강릉시 해안로 1758-14,자연관광,자연경관(하천/해양),222563
51,경기도,마장호수출렁다리,경기 파주시,기타관광,기타관광,220512
52,경기도,서울랜드,경기 과천시 광명로 181-0,문화관광,테마공원,219176
53,인천광역시,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,215897
54,서울특별시,올림픽공원,서울 송파구 올림픽로 424-0,문화관광,도시공원,212333
55,경상남도,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,209681
56,서울특별시,신라호텔서울,서울 중구 동호로 249-0,숙박,호텔,207136
57,경상북도,호미곶해맞이광장,경북 포항시 남구 해맞이로150번길 20-0,기타관광,기타관광,202188
58,서울특별시,그랜드하얏트서울,서울 용산구 소월로 322-0,숙박,호텔,201821
59,제주특별자치도,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),201773
60,인천광역시,파라다이스시티호텔,인천 중구 영종해안남로321번길 186-0,숙박,호텔,200776
61,제주특별자치도,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양),200126
62,경기도,화담숲,경기 광주시 도척윗로 278-1,자연관광,자연공원,197671
63,제주특별자치도,성산일출봉,제주 서귀포시 일출로 284-12,자연관광,자연경관(산),197347
64,경기도,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,193977
65,경상북도,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,192620
66,강원도,쏠비치양양,강원 양양군 선사유적로 678-0,숙박,콘도미니엄,192590
67,경기도,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,191423
68,강원도,강원랜드카지노,강원 정선군 하이원길 265-0,문화관광,기타문화관광지,190750
69,경기도,두물머리,경기 양평군,기타관광,기타관광,189318
70,인천광역시,인천대공원,인천 남동구 무네미로 236-0,문화관광,도시공원,187634
71,서울특별시,반포한강공원,서울 서초구 신반포로11길 40-0,문화관광,도시공원,186078
72,인천광역시,남촌농산물도매시장,인천 남동구 비류대로 763-0,쇼핑,시장,184978
73,서울특별시,남산서울타워,서울 용산구 남산공원길 105-0,문화관광,랜드마크관광,182726
74,경상북도,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),180909
75,강원도,낙산사,강원 양양군 낙산사로 100-0,역사관광,종교성지,180117
76,부산광역시,해동용궁사,부산 기장군 용궁길 86-0,역사관광,종교성지,179573
77,경기도,백운호수,경기 의왕시 학현로 0-0,자연관광,자연경관(하천/해양),179345
78,충청남도,꽃지해수욕장,충남 태안군 꽃지해안로 400-0,자연관광,자연경관(하천/해양),178949
79,강원도,강릉중앙시장,강원 강릉시 금성로 21-0,쇼핑,시장,178827
80,경기도,동탄호수공원,경기 화성시,문화관광,도시공원,178819
81,경기도,대명포구,경기 김포시,자연관광,자연경관(하천/해양),178795
82,경기도,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,177950
83,서울특별시,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑,쇼핑몰,177920
84,경기도,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,쇼핑,시장,177130
85,인천광역시,연안부두,인천 중구 연안부두로 0-0,자연관광,자연경관(하천/해양),174277
86,강원도,주문진수산시장,강원 강릉시 시장2길 6-0,쇼핑,시장,172933
87,강원도,설악케이블카,강원 속초시 설악산로 1085-0,기타관광,기타관광,172531
88,강원도,대포항,강원 속초시,자연관광,자연경관(하천/해양),171744
89,경기도,곤지암리조트,경기 광주시 도척윗로 278-0,숙박,콘도미니엄,166770
90,서울특별시,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,165343
91,강원도,세인트존스호텔,강원 강릉시 창해로 307-0,숙박,호텔,161231
92,경상북도,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,160523
93,강원도,휘닉스평창,강원 평창군 태기로 174-0,문화관광,복합관광시설,158319
94,부산광역시,아난티힐튼부산,부산 기장군 기장해안로 268-32,숙박,호텔,157754
95,경상남도,독일마을,경남 남해군 독일로 92-0,기타관광,기타관광,157680
96,전라남도,쏠비치진도,전남 진도군 송군길 30-40,숙박,콘도미니엄,156779
97,경기도,대부도,경기 안산시 단원구 감나무길 0-0,자연관광,자연경관(하천/해양),156621
98,경상남도,통도사,경남 양산시 통도사로 108-0,역사관광,종교성지,156098
99,경기도,제부도,경기 화성시,자연관광,자연경관(하천/해양),153685
100,경기도,안성팜랜드,경기 안성시 대신두길 28-0,문화관광,테마공원,153569
