순위,관광지명,주소,분류,외지인 검색 수
1,인천국제공항제1여객터미널,인천 중구 공항로 272-0,교통시설,829005
2,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,교통시설,512846
3,월미도,인천 중구,자연경관(하천/해양),442197
4,을왕리해수욕장,인천 중구 을왕로 52-0,자연경관(하천/해양),413617
5,인천종합어시장,인천 중구 연안부두로33번길 37-0,시장,216581
6,파라다이스시티호텔,인천 중구 영종해안남로321번길 186-0,호텔,184569
7,연안부두,인천 중구 연안부두로 0-0,자연경관(하천/해양),137634
8,스카이72GC바다코스,인천 중구 공항동로 392-0,육상레저스포츠,117993
9,하나개해수욕장,인천 중구,자연경관(하천/해양),99717
10,삼목선착장,인천 중구 영종해안북로847번길 55-0,교통시설,83849
11,네스트호텔,인천 중구 영종해안남로 19-5,호텔,82566
12,왕산해수욕장,인천 중구,자연경관(하천/해양),80814
13,인천항연안여객터미널,인천 중구 연안부두로 70-0,교통시설,70951
14,신포국제시장,인천 중구 우현로49번길 11-5,시장,68163
15,마시안해변,인천 중구 마시란로 118-0,자연경관(하천/해양),60608
16,선녀바위해수욕장,인천 중구,자연경관(하천/해양),57299
17,무의도선착장,인천 중구 대무의로 26-9,교통시설,54075
18,오렌지듄스영종골프클럽,인천 중구 영종해안남로321번길 184-0,육상레저스포츠,49806
19,영종도선착장,인천 중구,교통시설,48963
20,영종도,인천 중구,자연경관(하천/해양),47225
21,스카이72GC하늘코스,인천 중구 공항동로135번길 267-0,육상레저스포츠,41251
22,하늘정원,인천 중구,도시공원,40346
23,그랜드하얏트인천웨스트타워,인천 중구 영종해안남로321번길 190-0,호텔,37249
24,구읍뱃터어시장,인천 중구 은하수로 12-0,시장,32997
25,예단포선착장,인천 중구 예단포1로 2-13,교통시설,32704
26,인천항제3부두,인천 중구,자연경관(하천/해양),28594
27,소무의도,인천 중구,자연경관(하천/해양),27521
28,월미공원,인천 중구 월미로 131-9,도시공원,26601
29,인천항,인천 중구,자연경관(하천/해양),25273
30,실미해수욕장,인천 중구,자연경관(하천/해양),25113
31,그랜드하얏트인천이스트타워,인천 중구 영종해안남로321번길 208-0,호텔,25092
32,왕산마리나,인천 중구,복합관광시설,24170
33,더위크앤리조트,인천 중구 용유서로 379-0,콘도미니엄,23937
34,월미테마파크,인천 중구 월미문화로 81-0,테마공원,23468
35,영종씨사이드레일바이크,인천 중구 구읍로 75-0,기타레저스포츠,22918
36,선녀바위,인천 중구,기타관광,21930
37,무의도,인천 중구,자연경관(하천/해양),20526
38,월미도선착장,인천 중구 월미문화로 36-0,교통시설,20421
39,베스트웨스턴하버파크호텔,인천 중구 제물량로 217-0,호텔,17788
40,자유공원,인천 중구 자유공원남로 25-0,도시공원,17641
41,에어스카이호텔,인천 중구 은하수로29번길 31-0,호텔,17521
42,웨스턴그레이스호텔,인천 중구 은하수로29번길 36-0,호텔,17043
43,오션솔레뷰호텔,인천 중구 영종진광장로 32-0,호텔,16074
44,실미유원지,인천 중구 큰무리로 124-17,복합관광시설,15706
45,골든튤립인천공항호텔&스위트,인천 중구 흰바위로59번길 8-0,호텔,15232
46,씨사이드파크,인천 중구,도시공원,15098
47,만정바다좌대낚시터,인천 중구 영종순환로 279-20,수상레저스포츠,14568
48,파라다이스시티씨메르,인천 중구 영종해안남로321번길 186-0,웰니스관광,14508
49,광명항선착장,인천 중구 대무의로 523-2,교통시설,13898
50,파라다이스시티원더박스,인천 중구 영종해안남로321번길 186-0,복합관광시설,13429
51,인천남항부두,인천 중구 축항대로166번길 18-0,자연경관(하천/해양),12415
52,거잠포선착장,인천 중구 잠진도길 11-0,교통시설,11906
53,인천공항전망대,인천 중구,랜드마크관광,11900
54,실미도,인천 중구,자연경관(하천/해양),11505
55,인천축구전용경기장,인천 중구 참외전로 246-0,레저스포츠시설,11471
56,잠진도선착장,인천 중구 잠진도길 144-0,교통시설,11269
57,파라다이스시티플라자,인천 중구 영종해안남로321번길 186-0,쇼핑몰,11170
58,마시안갯벌체험장,인천 중구 마시란로 107-8,농/산/어촌체험,10448
59,스카이72드림듄스골프코스,인천 중구 영종해안북로847번길 42-0,육상레저스포츠,10027
60,정성레저낚시터,인천 중구 백운로186번길 140-1,수상레저스포츠,9763
61,스카이72GC클래식코스,인천 중구,육상레저스포츠,9297
62,스카이72GC레이크코스,인천 중구,육상레저스포츠,9185
63,리베라인천에어포트호텔,인천 중구 영종대로 881-0,호텔,9006
64,만정민트바다낚시터,인천 중구 중산로29번길 174-0,수상레저스포츠,8990
65,블루오션레지던스호텔,인천 중구 영종대로 911-0,호텔,8904
66,하워드존슨호텔인천에어포트,인천 중구 신도시남로142번길 6-0,호텔,8759
67,천혜바다낚시터,인천 중구,수상레저스포츠,8350
68,해상관광탐방로,인천 중구,기타관광,8252
69,인천해양경찰서전용부두,인천 중구,자연경관(하천/해양),8010
70,북성포구,인천 중구,자연경관(하천/해양),7838
71,영종씨사이드캠핑장,인천 중구 큰말로 25-0,캠핑,7675
72,예단포둘레길,인천 중구,기타관광,7433
73,오션파크나인호텔,인천 중구 영종진광장로 10-0,호텔,7326
74,용유도해변,인천 중구,자연경관(하천/해양),7225
75,호텔오라,인천 중구 공항서로 345-0,호텔,7075
76,만정사계절바다낚시터,인천 중구 영종순환로 279-20,수상레저스포츠,6996
77,신흥시장,인천 중구,시장,6442
78,연안부두바다쉼터,인천 중구 연안부두로 0-0,도시공원,6255
79,연화문호텔을왕,인천 중구 용유서로304번길 12-0,호텔,6017
80,제이앤파크호텔,인천 중구 용유서로 262-15,호텔,5980
81,영종진공원,인천 중구,도시공원,5874
82,청해수산,인천 중구 축항대로86번길 100-0,시장,5834
83,송월동동화마을,인천 중구 동화마을길 19-0,기타관광,5824
84,인천공항인터루프탑호텔,인천 중구 은하수로29번길 47-0,호텔,5552
85,로얄엠포리움호텔,인천 중구 은하수로 35-0,호텔,5455
86,용궁사,인천 중구 운남로 199-1,종교성지,5394
87,그랜드하얏트인천이스트타워 (자가격리소),인천 중구 영종해안남로321번길 208-0,호텔,5381
88,베스트웨스턴프리미어인천에어포트호텔,인천 중구 공항로424번길 48-27,호텔,5255
89,메가박스영종,인천 중구 영종대로 184-0,공연시설,5114
90,연세커피관광농원,인천 중구,농/산/어촌체험,4989
91,파라다이스시티스튜디오파라다이스,인천 중구 영종해안남로321번길 186-0,기타문화관광지,4947
92,데이즈호텔앤스위트인천에어포트,인천 중구 신도시남로142번길 6-0,호텔,4783
93,스카이72GC오션코스,인천 중구,육상레저스포츠,4730
94,애관극장,인천 중구 개항로 63-2,공연시설,4696
95,세계평화의숲,인천 중구,도시공원,4670
96,만정바다낚시터,인천 중구 영종순환로 279-20,수상레저스포츠,4618
97,인스파이어복합리조트건축중(2023년상반기개장예정),인천 중구 용유로 542-0,콘도미니엄,4465
98,한중문화관,인천 중구 제물량로 238-0,교육시설,4405
99,IPA볼파크야구장,인천 중구 축항대로290번길 165-0,레저스포츠시설,4403
100,인천학생과학관,인천 중구 영종대로277번길 74-10,전시시설,4390
